2023-12-28,2023-12-29,3583,PUBLIX #1574,Merchandise,17.31,
2023-12-22,2023-12-22,3583,AMAZON.COM*S511K6JG3,Merchandise,24.77,
2023-12-19,2023-12-20,3583,HARRIS TEETER #0228,Merchandise,13.65,
2023-12-20,2023-12-20,3583,Kindle Unltd*BY7G27VX3,Entertainment,12.83,
2023-12-15,2023-12-16,3583,OLD NAVY ON-LINE,Merchandise,,108.53
2023-12-13,2023-12-14,3583,PAPA JOHN'S #1503,Dining,21.39,
2023-12-11,2023-12-12,3583,COSTCO GAS #0361,Gas/Automotive,36.35,
2023-12-11,2023-12-12,3583,COSTCO WHSE #0361,Merchandise,22.46,
2023-12-11,2023-12-11,3583,CAPITAL ONE MOBILE PYMT,Payment/Credit,,541.55
2023-12-07,2023-12-08,3583,HEROKU* NOV-90103980,Merchandise,1.58,
2023-12-07,2023-12-08,3583,HEROKU* NOV-89738516,Merchandise,1.16,
2023-12-06,2023-12-07,3583,HARRIS TEETER #0228,Merchandise,40.00,
2023-12-05,2023-12-06,3583,COSTCO WHSE #0361,Merchandise,56.61,
2023-12-04,2023-12-06,3583,PHO 12NEWS (N1-R14),Merchandise,10.58,
2023-12-03,2023-12-05,3583,ANDY'S FROZEN CUSTARD,Dining,7.16,
2023-11-30,2023-12-01,3583,OLD NAVY ON-LINE,Merchandise,21.39,
2023-11-29,2023-12-01,3583,OLD NAVY ON-LINE,Merchandise,194.09,
2023-11-29,2023-12-01,3583,CHICK-FIL-A #03617,Dining,10.37,
2023-11-28,2023-11-29,3583,OLD NAVY ON-LINE,Merchandise,23.53,
2023-11-28,2023-11-29,3583,PAPA JOHN'S #1503,Dining,19.78,
2023-11-27,2023-11-28,3583,HARRIS TEETER #0228,Merchandise,48.12,
2023-11-26,2023-11-27,3583,COSTCO WHSE #0361,Merchandise,,45.98
2023-11-24,2023-11-25,3583,COSTCO WHSE #0361,Merchandise,45.98,
2023-11-21,2023-11-22,3583,"ETSY, INC.",Merchandise,38.25,
2023-11-19,2023-11-20,3583,COSTCO GAS #0361,Gas/Automotive,36.26,
2023-11-19,2023-11-20,3583,SQ *RX4LIVINGWELL,Health Care,8.56,
2023-11-19,2023-11-20,3583,SQ *HOMEGROWN BUBBLES,Merchandise,5.00,
2023-11-16,2023-11-16,3583,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,4.14,
2023-11-15,2023-11-16,3583,PAPA JOHN'S #1503,Dining,14.97,
2023-11-12,2023-11-13,3583,CAPITAL ONE MOBILE PYMT,Payment/Credit,,597.85
2023-11-11,2023-11-11,3583,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,25.00
2023-11-10,2023-11-11,3583,HARRIS TEETER #0228,Merchandise,31.85,
2023-11-10,2023-11-11,3583,COSTCO WHSE #0361,Merchandise,116.66,
2023-11-10,2023-11-11,3583,COSTCO WHSE #0361,Merchandise,6.42,
2023-11-05,2023-11-07,3583,EXXON REFUEL 116,Gas/Automotive,41.34,
2023-11-05,2023-11-07,3583,TOUS LES JOURS - CARY,Dining,4.06,
2023-11-05,2023-11-06,3583,COSTCO WHSE #0361,Merchandise,51.69,
2023-11-05,2023-11-06,3583,H MART CARY LLC,Merchandise,45.81,
2023-11-02,2023-11-03,3583,DOMINO'S 4459,Dining,17.20,
2023-10-29,2023-10-30,3583,HARRIS TEETER #0228,Merchandise,107.46,
2023-10-27,2023-10-28,3583,BOOKOFMONTH 1,Merchandise,18.18,
2023-10-23,2023-10-24,3583,HARRIS TEETER #0228,Merchandise,41.85,
2023-10-23,2023-10-24,3583,COSTCO WHSE #0361,Merchandise,112.68,
2023-10-12,2023-10-13,3583,HARRIS TEETER #0228,Merchandise,27.65,
2023-10-11,2023-10-11,3583,CAPITAL ONE MOBILE PYMT,Payment/Credit,,743.96
2023-10-08,2023-10-09,3583,BOOKOFMONTH 1,Merchandise,5.35,
2023-10-08,2023-10-09,3583,COSTCO WHSE #0361,Merchandise,139.58,
2023-10-08,2023-10-09,3583,UBER   EATS,Dining,26.00,
2023-10-05,2023-10-06,3583,HARRIS TEETER #0228,Merchandise,36.64,
2023-09-29,2023-10-02,3583,BARNES & NOBLE #2761,Merchandise,41.71,
2023-09-28,2023-09-29,3583,COSTCO WHSE #0361,Merchandise,138.73,
2023-09-22,2023-09-23,3583,HARRIS TEETER #0228,Merchandise,16.29,
2023-09-21,2023-09-22,3583,HARRIS TEETER #0228,Merchandise,64.34,
2023-09-16,2023-09-19,3583,TRENITALIA - LEFRECCE,Other Travel,29.93,
2023-09-17,2023-09-19,3583,PY *CARLITOS TACOS,Dining,24.31,
2023-09-17,2023-09-19,3583,4033 ZAROS BAKERY - KIOSK,Dining,6.40,
2023-09-17,2023-09-18,3583,LYFT   RIDE SUN 12PM,Other Travel,81.99,
2023-09-16,2023-09-18,3583,BUFFET NAPOLI CENTRALE,Dining,6.41,
2023-09-16,2023-09-18,3583,BONGUSTARE,Dining,8.45,
2023-09-16,2023-09-18,3583,AJISEN RAMEN,Dining,28.87,
2023-09-11,2023-09-12,3583,BAR TITONNO,Dining,4.30,
2023-09-09,2023-09-12,3583,ATAC TAP&GO,Other Travel,1.61,
2023-09-11,2023-09-12,3583,ITALIARAIL.COM,Other Travel,67.49,
2023-09-11,2023-09-11,3583,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1394.26
2023-09-08,2023-09-11,3583,ATAC TAP&GO,Other Travel,1.61,
2023-09-08,2023-09-11,3583,BAR NUNZIO,Dining,13.95,
2023-09-07,2023-09-08,3583,ALBERTO GELATERIA,Merchandise,4.30,
2023-09-07,2023-09-08,3583,CAFFE' MATTEO,Dining,10.75,
2023-09-07,2023-09-08,3583,MONTI SIMONE TIT A BUTIE,Merchandise,2.69,
2023-09-07,2023-09-08,3583,SumUp  *Garibaldi Luca,Dining,80.63,
2023-09-06,2023-09-07,3583,M L  DI COLO  MASSIMILIA,Other Services,6.48,
2023-09-04,2023-09-05,3583,MAISON VIEILLE,Dining,17.41,
2023-09-04,2023-09-05,3583,MAISON VIEILLE,Dining,4.35,
2023-09-04,2023-09-05,3583,MAISON VIEILLE,Dining,50.07,
2023-09-03,2023-09-04,3583,AMERICAN BAR,Dining,43.54,
2023-09-03,2023-09-04,3583,CAFE DES GUIDES,Dining,7.62,
2023-09-03,2023-09-04,3583,BREAD 4,Dining,8.16,
2023-09-03,2023-09-04,3583,MARIO IL PASTICCERE D..,Merchandise,3.27,
2023-09-03,2023-09-04,3583,BKG*HOTEL AT BOOKING.C,Other Travel,108.70,
2023-09-03,2023-09-04,3583,Arriva Italia Srl,Other Travel,32.65,
2023-09-01,2023-09-02,3583,LE REFUGE DU FIOUX,Dining,6.24,
2023-08-31,2023-09-01,3583,LUL TICKET MACHINE,Other Travel,17.08,
2023-08-30,2023-08-31,3583,44141 OLE & STEEN - BEDFO,Dining,7.22,
2023-08-29,2023-08-30,3583,ZETTLE_*THE INDIANS NE,Dining,6.31,
2023-08-29,2023-08-30,3583,BOLT.EU/O/2308291015,Other Travel,14.68,
2023-08-28,2023-08-29,3583,NEW COLLEGE,Other,20.25,
2023-08-27,2023-08-28,3583,FLYNORSE.CO S3C8FV,Airfare,60.00,
2023-08-27,2023-08-28,3583,BOOTS 1568,Health Care,4.18,
2023-08-26,2023-08-28,3583,FLYNORSE.CO R6DD8Z,Airfare,200.00,
2023-08-26,2023-08-28,3583,AIRALO,Entertainment,13.00,
2023-08-26,2023-08-28,3583,CHICK FIL A/PETE'S COFFE,Dining,14.84,
2023-08-24,2023-08-25,3583,NANNYBAG,Lodging,,64.80
2023-08-23,2023-08-25,3583,BARNES & NOBLE #2761,Merchandise,19.26,
2023-08-23,2023-08-24,3583,American Eagle 794,Merchandise,,84.25
2023-08-22,2023-08-23,3583,WWW TICKETONE IT,Entertainment,41.48,
