2022-09-21,2022-09-22,3583,HARRIS TEETER #0037,Merchandise,38.50,
2022-09-21,2022-09-22,3583,COSTCO GAS #0361,Gas/Automotive,35.73,
2022-09-21,2022-09-22,3583,COSTCO WHSE #0361,Merchandise,12.16,
2022-09-13,2022-09-15,3583,SQ *WHISTLEPUNK ICE CREAM,Merchandise,10.36,
2022-09-11,2022-09-13,3583,TST* Le Panier,Dining,6.84,
2022-09-11,2022-09-12,3583,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,23.82
2022-09-10,2022-09-10,3583,CAPITAL ONE MOBILE PYMT,Payment/Credit,,29.50
2022-09-08,2022-09-10,3583,SKI & TENNIS STATION,Merchandise,,35.26
2022-09-08,2022-09-10,3583,SKI & TENNIS STATION,Merchandise,138.99,
2022-09-06,2022-09-07,3583,HARRIS TEETER #0037,Merchandise,12.76,
2022-09-04,2022-09-05,3583,CAPITAL ONE MOBILE PYMT,Payment/Credit,,621.60
2022-09-03,2022-09-05,3583,DOMINO'S 5538,Dining,16.74,
2022-08-31,2022-09-01,3583,COSTCO GAS #0361,Gas/Automotive,41.60,
2022-08-31,2022-09-01,3583,LOWES #00436*,Merchandise,7.68,
2022-08-30,2022-08-31,3583,HARRIS TEETER #0037,Merchandise,4.06,
2022-08-28,2022-08-29,3583,AMZN Mktp US,Merchandise,,21.39
2022-08-28,2022-08-29,3583,AMZN Mktp US,Merchandise,,12.83
2022-08-27,2022-08-27,3583,AMZN Mktp US*KK92T8AN3,Merchandise,10.69,
2022-08-25,2022-08-26,3583,AWL*PEARSON EDUCATION,Other,42.76,
2022-08-24,2022-08-25,3583,CHEGG  ORDER,Merchandise,19.95,
2022-08-24,2022-08-25,3583,AMZN Mktp US*ZJ5BP4LC3,Merchandise,114.76,
2022-08-24,2022-08-24,3583,AMZN Mktp US*QT9YW7S73,Merchandise,12.83,
2022-08-22,2022-08-23,3583,AMZN Mktp US*SH5A80733,Merchandise,132.62,
2022-08-22,2022-08-23,3583,ZYBOOK COLLEGE TXTBOOK,Internet,62.07,
2022-08-20,2022-08-22,3583,BINKI CAFE,Merchandise,17.14,
2022-08-19,2022-08-22,3583,ROSS STORES #558,Merchandise,72.70,
2022-08-19,2022-08-20,3583,SQ *THE SNOB SHOP,Merchandise,41.73,
2022-08-18,2022-08-19,3583,HARRIS TEETER #0037,Merchandise,13.55,
2022-08-18,2022-08-19,3583,COSTCO GAS #0361,Gas/Automotive,37.86,
2022-08-13,2022-08-15,3583,HARRIS TEETER #0037,Merchandise,11.51,
2022-08-11,2022-08-11,3583,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,25.00
2022-08-10,2022-08-10,3583,CAPITAL ONE MOBILE PYMT,Payment/Credit,,778.03
2022-08-09,2022-08-10,3583,HARRIS TEETER #0037,Merchandise,37.31,
2022-08-08,2022-08-09,3583,MINUTEKEY,Merchandise,4.28,
2022-08-08,2022-08-09,3583,COSTCO GAS #0361,Gas/Automotive,47.49,
2022-08-07,2022-08-08,3583,COSTCO WHSE #0361,Merchandise,99.31,
2022-08-05,2022-08-08,3583,KILWINS FT MYERS BEACH,Merchandise,10.97,
2022-08-04,2022-08-06,3583,7-ELEVEN 24173,Gas/Automotive,27.99,
2022-08-05,2022-08-05,3583,UBER   EATS,Dining,38.57,
2022-08-01,2022-08-03,3583,KILWINS FT MYERS BEACH,Merchandise,10.97,
2022-08-01,2022-08-02,3583,SURF STYLE 141,Merchandise,37.98,
2022-08-01,2022-08-02,3583,CELEBRITY STYLE,Merchandise,21.30,
2022-07-29,2022-07-30,3583,Microsoft*Store,Entertainment,21.39,
2022-07-27,2022-07-28,3583,HARRIS TEETER #0037,Merchandise,28.03,
2022-07-26,2022-07-27,3583,HARRIS TEETER #0037,Merchandise,23.38,
2022-07-24,2022-07-26,3583,EXXONMOBIL    47857131,Gas/Automotive,7.77,
2022-07-18,2022-07-20,3583,SHELL OIL 57544022700,Gas/Automotive,60.00,
2022-07-18,2022-07-18,3583,TST* PIE ZAA PIZZA,Dining,49.80,
2022-07-17,2022-07-18,3583,EAST COAST WINGS AND G,Dining,124.89,
2022-07-13,2022-07-14,3583,HARRIS TEETER #0037,Merchandise,21.07,
2022-07-11,2022-07-12,3583,COSTCO WHSE #0361,Merchandise,58.49,
2022-07-11,2022-07-11,3583,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,25.00
2022-07-09,2022-07-11,3583,BINKI CAFE,Merchandise,16.05,
2022-07-09,2022-07-11,3583,LOWES #00436*,Merchandise,5.18,
2022-07-08,2022-07-09,3583,CHEGG  ORDER,Merchandise,19.95,
2022-07-06,2022-07-08,3583,BINKI CAFE,Merchandise,16.05,
2022-07-06,2022-07-07,3583,HARRIS TEETER #0037,Merchandise,28.11,
2022-07-05,2022-07-07,3583,AE OUTF ONLINE00029538,Merchandise,24.01,
2022-07-03,2022-07-04,3583,CAPITAL ONE MOBILE PYMT,Payment/Credit,,2958.06
2022-07-01,2022-07-01,3583,CREDIT-TRAVEL REWARD,Payment/Credit,,205.56
2022-06-30,2022-07-01,3583,PIEDMONT ENDODONTICS,Health Care,329.00,
2022-06-29,2022-06-30,3583,HARRIS TEETER #0155,Merchandise,1.62,
2022-06-28,2022-06-29,3583,LOVELAND DENTAL GROUP ON,Health Care,1344.00,
2022-06-27,2022-06-28,3583,COSTCO GAS #0361,Gas/Automotive,45.71,
2022-06-27,2022-06-28,3583,COSTCO WHSE #0361,Merchandise,11.96,
2022-06-25,2022-06-27,3583,ALASKA AIR  0272303172007,Airfare,517.21,
